step,value,hop,seed,variant,metric
10,37.00790023803711,hop0,42,full,Train Loss
20,7.418700218200684,hop0,42,full,Train Loss
30,6.256899833679199,hop0,42,full,Train Loss
40,5.541200160980225,hop0,42,full,Train Loss
50,5.437399864196777,hop0,42,full,Train Loss
60,5.21560001373291,hop0,42,full,Train Loss
70,5.21999979019165,hop0,42,full,Train Loss
80,5.175000190734863,hop0,42,full,Train Loss
90,4.943600177764893,hop0,42,full,Train Loss
100,5.2104997634887695,hop0,42,full,Train Loss
110,4.9145002365112305,hop0,42,full,Train Loss
120,4.950500011444092,hop0,42,full,Train Loss
130,5.039000034332275,hop0,42,full,Train Loss
140,4.943600177764893,hop0,42,full,Train Loss
150,4.781499862670898,hop0,42,full,Train Loss
160,4.835899829864502,hop0,42,full,Train Loss
170,4.687900066375732,hop0,42,full,Train Loss
180,4.307000160217285,hop0,42,full,Train Loss
190,4.111599922180176,hop0,42,full,Train Loss
200,4.317599773406982,hop0,42,full,Train Loss
210,4.396299839019775,hop0,42,full,Train Loss
220,4.431000232696533,hop0,42,full,Train Loss
230,4.271200180053711,hop0,42,full,Train Loss
240,4.327600002288818,hop0,42,full,Train Loss
250,4.3024001121521,hop0,42,full,Train Loss
260,4.342199802398682,hop0,42,full,Train Loss
270,4.295499801635742,hop0,42,full,Train Loss
280,4.416500091552734,hop0,42,full,Train Loss
290,4.230899810791016,hop0,42,full,Train Loss
300,4.255000114440918,hop0,42,full,Train Loss
310,4.140200138092041,hop0,42,full,Train Loss
320,4.428299903869629,hop0,42,full,Train Loss
330,4.349999904632568,hop0,42,full,Train Loss
340,3.887500047683716,hop0,42,full,Train Loss
350,3.772700071334839,hop0,42,full,Train Loss
360,3.779099941253662,hop0,42,full,Train Loss
370,3.9196999073028564,hop0,42,full,Train Loss
380,3.728800058364868,hop0,42,full,Train Loss
390,3.646899938583374,hop0,42,full,Train Loss
400,3.782900094985962,hop0,42,full,Train Loss
410,3.908600091934204,hop0,42,full,Train Loss
420,3.653599977493286,hop0,42,full,Train Loss
430,3.7012999057769775,hop0,42,full,Train Loss
440,3.709700107574463,hop0,42,full,Train Loss
450,3.6547999382019043,hop0,42,full,Train Loss
460,3.7764999866485596,hop0,42,full,Train Loss
470,3.516700029373169,hop0,42,full,Train Loss
480,3.727299928665161,hop0,42,full,Train Loss
490,3.7332000732421875,hop0,42,full,Train Loss
500,3.68149995803833,hop0,42,full,Train Loss
510,3.1229000091552734,hop0,42,full,Train Loss
520,3.2316999435424805,hop0,42,full,Train Loss
530,3.2328999042510986,hop0,42,full,Train Loss
540,3.0924999713897705,hop0,42,full,Train Loss
550,3.2646000385284424,hop0,42,full,Train Loss
560,3.1270999908447266,hop0,42,full,Train Loss
570,3.0483999252319336,hop0,42,full,Train Loss
580,3.282900094985962,hop0,42,full,Train Loss
590,3.259700059890747,hop0,42,full,Train Loss
600,3.289299964904785,hop0,42,full,Train Loss
610,3.158600091934204,hop0,42,full,Train Loss
620,3.122999906539917,hop0,42,full,Train Loss
630,3.1875,hop0,42,full,Train Loss
640,3.322499990463257,hop0,42,full,Train Loss
650,3.1768999099731445,hop0,42,full,Train Loss
660,3.199899911880493,hop0,42,full,Train Loss
668,4.606282711029053,hop0,42,full,Train Loss (final)
10,0.00019879336468875408,hop0,42,full,Learning Rate
20,0.00019577676721382886,hop0,42,full,Learning Rate
30,0.00019276018429081887,hop0,42,full,Learning Rate
40,0.00018974358681589365,hop0,42,full,Learning Rate
50,0.00018672700389288366,hop0,42,full,Learning Rate
60,0.00018371040641795844,hop0,42,full,Learning Rate
70,0.00018069380894303322,hop0,42,full,Learning Rate
80,0.00017767722602002323,hop0,42,full,Learning Rate
90,0.000174660628545098,hop0,42,full,Learning Rate
100,0.00017164404562208802,hop0,42,full,Learning Rate
110,0.0001686274481471628,hop0,42,full,Learning Rate
120,0.0001656108652241528,hop0,42,full,Learning Rate
130,0.00016259426774922758,hop0,42,full,Learning Rate
140,0.00015957767027430236,hop0,42,full,Learning Rate
150,0.00015656108735129237,hop0,42,full,Learning Rate
160,0.00015354448987636715,hop0,42,full,Learning Rate
170,0.00015052790695335716,hop0,42,full,Learning Rate
180,0.00014751130947843194,hop0,42,full,Learning Rate
190,0.00014449472655542195,hop0,42,full,Learning Rate
200,0.00014147812908049673,hop0,42,full,Learning Rate
210,0.0001384615316055715,hop0,42,full,Learning Rate
220,0.00013544494868256152,hop0,42,full,Learning Rate
230,0.0001324283512076363,hop0,42,full,Learning Rate
240,0.0001294117682846263,hop0,42,full,Learning Rate
250,0.00012639517080970109,hop0,42,full,Learning Rate
260,0.0001233785878866911,hop0,42,full,Learning Rate
270,0.00012036199041176587,hop0,42,full,Learning Rate
280,0.00011734540021279827,hop0,42,full,Learning Rate
290,0.00011432881001383066,hop0,42,full,Learning Rate
